StopId,Name,Latitude,Longitude,ScheduledTime
56383,Central Av & Morton Av,37.5222215,-122.0315579,NA
55091,Central Av & Morton Av,37.5219813,-122.0315109,NA
57910,Central Av & Sycamore St,37.5250757,-122.0286058,NA
59676,Central Av & Sycamore St,37.5248477,-122.0290989,NA
56636,Cherry St & Central Av,37.5282553,-122.0251179,NA
59710,Cherry St & Jasmine Av,37.5212688,-122.0116138,NA
52116,Cherry St & Jasmine Av,37.5217184,-122.0118313,NA
54080,Cherry St & Moores Av,37.5234244,-122.0151354,NA
57101,Cherry St & Moores Av,37.5231804,-122.0151553,NA
57212,Cherry St & Robertson Av,37.5271441,-122.0223053,NA
55092,Cherry St & Robertson Av,37.5268723,-122.0223525,NA
55093,Cherry St & Smith Av,37.5252473,-122.0186516,NA
53312,Cherry St & Smith Av,37.5250516,-122.0188252,NA
51330,Filbert St & Enterprise Dr,37.5252696,-122.0363285,NA
59059,Filbert St & Enterprise Dr,37.5250711,-122.0365045,NA
57252,Mowry Av & Alpine St,37.5227218,-122.0091555,NA
55895,Mowry Av & Cedar Blvd,37.5255415,-122.0069722,NA
51898,Mowry Av & Cherry St,37.5210028,-122.0095909,NA
54567,Mowry Av & Rockrose Dr,37.523535,-122.008437,NA
51112,New Park Mall,37.5272764,-122.0022669,NA
55754,Newark Blvd & Brittany Av,37.5458199,-122.0410413,NA
52898,Newark Blvd & Central Av,37.5322656,-122.0230747,NA
55193,Newark Blvd & Central Av,37.5328024,-122.0236062,NA
53550,Newark Blvd & Civic Terrace Av,37.535963,-122.0291056,NA
54077,Newark Blvd & Civic Terrace Av,37.5361629,-122.0289494,NA
55740,Newark Blvd & Jarvis Av,37.5509496,-122.0507586,NA
51181,Newark Blvd & Jarvis Av,37.5513031,-122.0506352,NA
56990,Newark Blvd & Lafayette Av,37.5435975,-122.0362362,NA
54850,Newark Blvd & Lafayette Av,37.5435516,-122.0357612,NA
58800,Newark Blvd & Lido Faire,37.5490048,-122.0467552,NA
57122,Newark Blvd & Mayhews Landing Rd,37.5404272,-122.0341413,NA
55196,Newark Blvd & Musick Av,37.5408325,-122.0340285,NA
53480,Newark Blvd & Newark Community Park,37.5472733,-122.0427627,NA
53456,Newark Blvd & Rosemont Square,37.5493815,-122.0467619,NA
56835,Newark Blvd & Ruschin Dr,37.5458684,-122.0405732,NA
57229,Newark Blvd & Thornton Av,37.5367116,-122.0300096,NA
55414,Newark Blvd & Thornton Av,37.536597,-122.0303304,NA
57588,Sycamore St & Thornton Av,37.529796,-122.038098,NA
57559,Sycamore St & Thornton Av,37.5298739,-122.0378313,NA
56480,Thornton Av & Cedar Blvd,37.543396,-122.0256614,NA
50430,Thornton Av & Cherry St,37.5332301,-122.033798,NA
56853,Thornton Av & Mayhews Landing Rd,37.5388792,-122.0291923,NA
56840,Thornton Av & Mayhews Landing Rd,37.539423,-122.0284252,NA
58340,Thornton Av & Newark Blvd,37.5364286,-122.0312523,NA
59789,Thornton Av & Olive St,37.5308443,-122.0355816,NA
55647,Thornton Av & Ruschin Dr,37.5407663,-122.0273322,NA
58940,Thornton Av & Ruschin Dr,37.5412345,-122.0272405,NA
51040,Cedar Blvd & Forbes Dr,37.5397244,-122.0214282,NA
55023,Cedar Blvd & San Antonio Way,37.5409156,-122.0237088,NA
58610,Mowry Av & Silliman Cr.,37.5174385,-122.0109165,NA
50567,Cedar Av & Newark High School Library,37.5220594,-122.00075030000001,NA
51240,Filbert St & Central Av,37.5220755,-122.0347184,NA
57991,Filbert St & Central Av,37.5217879,-122.0347416,NA
55256,Ohlone College Newark Campus,37.5178547,-122.0047365,NA
58290,Central Av & Cherry St,37.529523,-122.0249291,NA
57992,Mission Blvd & Gurdwara Rd,37.5852902,-121.9966401,NA
50179,Filbert St & Enterprise Dr,37.5236513,-122.0357335,NA
53326,104th Av & Birch St,37.7416345,-122.1620378,NA
53540,104th Av & Birch St,37.7415252,-122.1619362,NA
55206,104th Av & Plymouth St,37.7408899,-122.1646511,NA
51187,104th Av & Plymouth St,37.7410636,-122.1644793,NA
51989,104th Av & Sunnyside St,37.742086,-122.1594,NA
59151,104th Av & Sunnyside St,37.7421904,-122.1596029,NA
59159,105th Av & E St,37.7365734,-122.1726341,NA
51451,105th Av & E St,37.7363141,-122.1727653,NA
54020,105th Av & Edes Av,37.7334415,-122.1782639,NA
57993,105th Av & Graffian St,37.738125,-122.1688905,NA
57996,105th Av & Graffian St,37.7383938,-122.1687508,NA
58360,105th Av & Pontiac St,37.738876,-122.1672988,NA
59022,105th Av & San Leandro St,37.7356451,-122.1746487,NA
59195,105th Av & San Leandro St,37.7354615,-122.1745966,NA
54030,106th Av & Bancroft Av,37.7415891,-122.1564958,NA
57567,106th Av & Bancroft Av,37.7416594,-122.1567225,NA
58840,106th Av & Longfellow Av,37.7420831,-122.1551899,NA
58390,106th Av & Voltaire Av,37.7421056,-122.1546609,NA
55201,10th St & Adeline St,37.8066499,-122.2870121,NA
53552,10th St & Adeline St,37.806495,-122.2868855,NA
55441,10th St & Fallon St,37.7976554,-122.2631755,NA
59033,10th St & Filbert St,37.8060137,-122.2842138,NA
59066,10th St & Filbert St,37.8058854,-122.2841775,NA
54575,10th St & Kaiser Convention Center,37.7966997,-122.2607537,NA
58833,10th St & Market St,37.805266,-122.2815897,NA
54500,10th St & Market St,37.8054916,-122.2817253,NA
59225,10th St & Union St,37.8069825,-122.2890511,NA
54777,11th St & Broadway (12th St BART),37.8022679,-122.2727474,NA
