query,lat,lon,lat_min,lat_max,lon_min,lon_max
some location CA USA,NA,NA,NA,NA,NA,NA
seminary ave/international dr CA USA,NA,NA,NA,NA,NA,NA
Fruitvale BART Station (55533) Alameda,37.7757945,-122.2254889,37.7757445,37.7758445,-122.2255389,-122.2254389
4135 Park Blvd. CA USA,37.8067796,-122.223924,37.8067296,37.8068296,-122.223974,-122.223874
on the 65 CA USA,34.252019,-118.8133501,34.252019,34.252287,-118.813408,-118.8133501
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
"430 13th St, Oakland, CA 94612,  CA USA",37.803393044351445,-122.27077428382749,37.803343044351,37.803443044351,-122.27082428383,-122.27072428383
Shattuck and Alston CA USA,NA,NA,NA,NA,NA,NA
Mowry Av and Argonaut Way (57880) Fremont,37.5459612,-121.990312,37.5459112,37.5460112,-121.990362,-121.990262
Warmsprings BART Station (52057) Fremont,NA,NA,NA,NA,NA,NA
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
Union CA USA,38.3216512,-122.3099435,38.3016512,38.3416512,-122.3299435,-122.2899435
Market St and 45th St (51104) Oakland,37.8343412,-122.2729097,37.8342912,37.8343912,-122.2729597,-122.2728597
Hesperian Blvd:Hasenda CA USA,NA,NA,NA,NA,NA,NA
Mission Blvd and Arrowhead Way (56353) Hayward,37.6250888,-122.0418397,37.6250388,37.6251388,-122.0418897,-122.0417897
40th:MLK CA USA,NA,NA,NA,NA,NA,NA
Berkley Berkeley,39.791723250000004,-105.04779895007465,39.7911706,39.7922758,-105.0491115,-105.0464864
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Ashby Bart San Francisco,37.8520696,-122.2705916,37.8520196,37.8521196,-122.2706416,-122.2705416
Grand Av and Weldon Av (55818) Oakland,NA,NA,NA,NA,NA,NA
San Pablo CA USA,37.9621457,-122.3455263,37.9490752,37.9815573,-122.3586075,-122.3184313
Stevenson Blvd and Omar St (56515) Emeryville,NA,NA,NA,NA,NA,NA
Union City BART CA USA,37.5904337,-122.0176108,37.5903837,37.5904837,-122.0176608,-122.0175608
Park Blvd CA USA,32.7242198,-117.1511214,32.7242198,32.724387,-117.1511214,-117.1510315
Harbour Way S and Maine Av (56868) Richmond,NA,NA,NA,NA,NA,NA
Kerning CA USA,NA,NA,NA,NA,NA,NA
Gilman Berkeley,37.8796457,-122.2993506,37.8795957,37.8796957,-122.2994006,-122.2993006
Stop id 55100 CA USA,33.2571107,-116.9579745,33.2570607,33.2571607,-116.9580245,-116.9579245
Stop id 55100 CA USA,33.2571107,-116.9579745,33.2570607,33.2571607,-116.9580245,-116.9579245
Union City BART Station (50784) Union City,NA,NA,NA,NA,NA,NA
Hesperian Hayward,37.6171787,-122.0884276,37.6171787,37.6172798,-122.088488,-122.0884276
